id,subject,content,options,correct_answer,explanation,difficulty,created_at,active,area_tematica,tema,subtema,habilidad,origen
a75c77d0-dd29-4977-8a39-6e8ebc2ea446,M2,¿Cuál es el resultado de factorizar la expresión x² - 1?,"{""a"":""(x - 1)(x + 1)"",""b"":""3(x - 0)(x + 0)"",""c"":""3(x - 2)(x + 2)"",""d"":""3(x - 1)(x - 1)""}",a,Al factorizar x² - 1 se obtiene (x - 1)(x + 1).,1,2025-04-14T20:44:40.345Z,true,Álgebra,Polinomios y fracciones algebraicas,,Álgebra y Funciones,AI Generated
54e6c2e8-7954-411d-907c-7fc0bd0ffd26,M2,Se lanza un dado equilibrado 5 veces. ¿Cuál es la probabilidad de obtener exactamente 3 veces el número 5?,"{""a"":""0.0386"",""b"":""125/3888"",""c"":""0.0161"",""d"":""25/648""}",b,"La probabilidad de obtener exactamente 3 veces el número 5 en 5 lanzamientos de un dado sigue una distribución binomial con n=5 y p=1/6. Aplicando la fórmula, obtenemos 125/3888.",2,2025-04-14T20:44:40.345Z,true,Probabilidad y Estadística,Variables aleatorias,,Probabilidad y Estadística,AI Generated
2b2c8ab4-87b9-43dd-93d8-6e71fd1c93ae,M2,¿Cuál es el valor exacto de sin(π/4)?,"{""a"":""1/2"",""b"":""√2/2"",""c"":""1/√2"",""d"":""√3/2""}",c,El valor del seno de π/4 es 1/√2 ≈ 0.7071.,5,2025-04-14T20:44:40.345Z,true,Álgebra,Funciones,,Álgebra y Funciones,AI Generated
de258b0d-9912-4fc4-9ea6-23ff908a82cd,M2,¿Cuál es el valor máximo de la función f(x) = -1x² + 6x y en qué valor de x se alcanza?,"{""a"":""El valor máximo es 9.00 y se alcanza en x = -3.00"",""b"":""El valor mínimo es 9.00 y se alcanza en x = 3.00"",""c"":""El valor máximo es 9.00 y se alcanza en x = 3.00"",""d"":""El valor máximo es -9.00 y se alcanza en x = 3.00""}",c,"Para encontrar el valor máximo de una función cuadrática f(x) = ax² + bx + c, calculamos su vértice en x = -b/(2a) = 3.00. El valor de la función en este punto es 9.00, que es el máximo de la función.",4,2025-04-14T20:44:40.345Z,true,Álgebra,Ecuaciones de segundo grado,,Álgebra y Funciones,AI Generated
7be660ae-3804-4446-9b94-f1484170fc27,M2,"En una bolsa hay 4 bolitas rojas, 9 bolitas azules y 3 bolitas verdes. ¿Cuál es la probabilidad de sacar una bolita verde?","{""a"":""3/16"",""b"":""4/16"",""c"":""1/16"",""d"":""5/16""}",a,"La probabilidad de sacar una bolita verde es la cantidad de bolitas verde dividido por el total de bolitas. Hay 3 bolitas verde y 16 bolitas en total, por lo que la probabilidad es 3/16 = 3/16.",1,2025-04-14T20:44:40.345Z,true,Probabilidad y Estadística,Probabilidad condicional,,Probabilidad y Estadística,AI Generated
f9ef86a5-d5b3-428f-aebe-d31de69cbc57,M2,"Si se aplica una homotecia de razón 1.5 a un cuadrado de lado 10 cm, ¿cuál será el área del cuadrado resultante?","{""a"":""224.0"",""b"":""225.0"",""c"":""450.0"",""d"":""226.0""}",b,"Cuando se aplica una homotecia de razón 1.5 a un cuadrado de lado 10 cm, el nuevo lado mide 1.5 × 10 cm = 15.0 cm. Por lo tanto, el área del nuevo cuadrado es 15.0 cm × 15.0 cm = 225.0 cm².",1,2025-04-14T20:44:40.345Z,true,Geometría,Homotecia de figuras,,Geometría,AI Generated
f0b683c0-e26e-4839-aeb4-4ae235e79687,M2,"Si f(x) = 10^x y f(p) = 100000, ¿cuál es el valor de p?","{""a"":""0.2"",""b"":""log_10(5)"",""c"":""100000"",""d"":""5""}",d,"Si f(x) = 10^x y f(p) = 100000, entonces 10^p = 100000. Aplicando logaritmo base 10 a ambos lados: p = 5.",4,2025-04-14T20:44:40.345Z,true,Álgebra,Funciones,,Álgebra y Funciones,AI Generated
30a227a7-00ff-4bce-bf0d-e2de7bd76f65,M2,"En un triángulo ABC, se traza una recta paralela a BC que corta a AB en el punto D y a AC en el punto E. Si AB = 10 cm, AD = 4 cm y AC = 15 cm, ¿cuánto mide AE?","{""a"":""7.5 cm"",""b"":""6 cm"",""c"":""4 cm"",""d"":""5 cm""}",b,"Por el teorema de Thales, AD/AB = AE/AC. Despejando AE, tenemos AE = (AD·AC)/AB = (4·15)/10 = 6 cm.",4,2025-04-14T20:44:40.345Z,true,Geometría,Triángulos y cuadriláteros,,Geometría,AI Generated
bd031f87-893f-4ea2-b150-4ca357cafb55,M2,"Si el perímetro de un círculo es 8π cm, ¿cuál es el área del círculo en cm²?","{""a"":""8π"",""b"":""64π"",""c"":""16π"",""d"":""4π""}",c,"El perímetro de un círculo es 2πr. Si 2πr = 8π, entonces r = 4 cm. El área del círculo es πr² = π·4² = 16π cm².",5,2025-04-14T20:44:40.345Z,true,Números,Conjunto de los numeros reales,,Números,AI Generated
86be03b2-25ee-4123-af88-dc047c0a0fb2,M2,"En una circunferencia, un ángulo inscrito abarca un arco de 120°. ¿Cuánto mide el ángulo?","{""a"":""30°"",""b"":""60°"",""c"":""120°"",""d"":""90°""}",b,"Un ángulo inscrito en una circunferencia mide la mitad del arco que abarca. Si el arco mide 120°, entonces el ángulo inscrito mide 120°/2 = 60°.",4,2025-04-14T20:44:40.345Z,true,Geometría,Círculos y circunferencias,,Geometría,AI Generated
